"purchase_id","alias","created_at","purchase_date"
"40336","5a9fdef3-96b6-458b-a4fa-0a8a62fe938f","2019-09-02 17:50:21.770409+06","2019-09-02 06:00:00+06"
"40337","4be19e24-e251-4264-8758-f88509bff8a5","2019-09-02 17:52:58.612547+06","2019-09-02 06:00:00+06"
"40338","5fac4474-51b7-4525-8623-339101aa875a","2019-09-02 17:55:05.821674+06","2019-08-27 06:00:00+06"
"40339","ab26ebe6-b017-4be7-aab5-1d41dc90c729","2019-09-02 17:56:08.47338+06","2019-09-02 06:00:00+06"
"40340","73001f04-f85c-4c96-af18-0a3fc84ec07b","2019-09-02 17:58:09.019487+06","2019-09-02 06:00:00+06"
"40341","35322eea-c39c-49dd-a742-a399a8d8b301","2019-09-02 18:01:09.285663+06","2019-09-02 06:00:00+06"
"40342","52fe8779-35f7-4e54-a5db-c5041d713c27","2019-09-02 18:01:56.849315+06","2019-09-02 06:00:00+06"
"40343","50bf1002-abf4-487d-a2d5-2465e88a9675","2019-09-02 18:03:35.770925+06","2019-09-02 06:00:00+06"
"40344","70d34900-571b-4cb0-a4c5-8714343384e9","2019-09-02 18:10:24.649735+06","2019-09-02 06:00:00+06"
"40345","6324e1ff-c1e9-4311-86e6-8f58b5301322","2019-09-02 18:11:59.468363+06","2019-09-02 06:00:00+06"
"40346","3554e8b0-41d5-407f-83e2-c3da10dc2c1a","2019-09-02 18:15:03.465092+06","2019-09-02 06:00:00+06"
"40347","ac7e5b97-c3b6-4338-8dff-16f39b30acec","2019-09-02 18:16:24.190492+06","2019-08-27 06:00:00+06"
"40348","e2cb7413-eb86-4e0f-b367-e7f64c7ee635","2019-09-02 18:18:12.961162+06","2019-09-02 06:00:00+06"
"40349","470246d4-e138-443d-8f87-612bc21c16e6","2019-09-02 18:18:26.529978+06","2019-09-02 06:00:00+06"
"40350","a24cf7dc-8160-42e3-b6d3-5775fc0bfccc","2019-09-02 18:18:55.742051+06","2019-08-27 06:00:00+06"
"40351","b0bb8a9c-4682-4627-ac58-98174705948e","2019-09-02 18:19:40.977327+06","2019-09-02 06:00:00+06"
"40352","f55ffa19-17f1-43d7-982f-ca7bda8dd5ed","2019-09-02 18:20:03.09223+06","2019-09-02 06:00:00+06"
"40353","639393a0-84b0-4b8f-9e9c-eb7f75cebfc5","2019-09-02 18:20:07.42418+06","2019-09-02 06:00:00+06"
"40354","ff300112-561c-4e4d-970d-3bb305ee774a","2019-09-02 18:22:28.028867+06","2019-09-02 06:00:00+06"
"40355","112d7540-11a0-4f89-b578-4faf42af428b","2019-09-02 18:24:36.288374+06","2019-08-27 06:00:00+06"
"40356","b39e08d5-20d7-47f5-ae7d-eff8ea292566","2019-09-02 18:25:28.662571+06","2019-09-02 06:00:00+06"
"40357","bb2920a0-f8cd-41e0-a1ce-cac0d0cd2eeb","2019-09-02 18:26:49.440599+06","2019-09-02 06:00:00+06"
"40358","b0c1137d-3ff0-4d61-ad6c-7ba6b4623a76","2019-09-02 18:30:46.404473+06","2019-09-02 06:00:00+06"
"40359","9a21eb32-1d0f-4906-bee1-5a9c54eaf27b","2019-09-02 18:31:50.066714+06","2019-09-02 06:00:00+06"
"40360","38d4b0b3-1b0a-44cb-b763-da6be4243845","2019-09-02 18:35:28.421636+06","2019-09-02 06:00:00+06"
